design_name,parts,
Design A000P001: 0x40_A000P001,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,rECK120033736,rHlyIIR,rH1,rRiboJ51,rpSrpR,rL3S2P11,rBM3R1,rB3,rSarJ,rpBAD,pBM3R1,pTet,RiboJ10,S4,SrpR,ECK120029600,pPhlF,YFP
Design A000P003: 0x40_A000P003,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,pTac,pHlyIIR,RiboJ53,P3,PhlF,ECK120033737,rL3S2P11,rBM3R1,rB3,rSarJ,rpBAD,pPhlF,YFP
Design A000P005: 0x40_A000P005,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,rECK120033736,rHlyIIR,rH1,rRiboJ51,rpSrpR,rL3S2P11,rBM3R1,rB3,rSarJ,rpBAD,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,pPhlF,YFP
Design A000P007: 0x40_A000P007,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,pBAD,SarJ,B3,BM3R1,L3S2P11,pPhlF,YFP
Design A000P009: 0x40_A000P009,pBM3R1,pTet,RiboJ10,S4,SrpR,ECK120029600,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,pTac,pHlyIIR,RiboJ53,P3,PhlF,ECK120033737,rL3S2P11,rBM3R1,rB3,rSarJ,rpBAD,pPhlF,YFP
Design A000P011: 0x40_A000P011,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,rECK120033736,rHlyIIR,rH1,rRiboJ51,rpSrpR,pBAD,SarJ,B3,BM3R1,L3S2P11,pBM3R1,pTet,RiboJ10,S4,SrpR,ECK120029600,pPhlF,YFP
Design A000P013: 0x40_A000P013,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,pBM3R1,pTet,RiboJ10,S4,SrpR,ECK120029600,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,rL3S2P11,rBM3R1,rB3,rSarJ,rpBAD,pPhlF,YFP
Design A000P015: 0x40_A000P015,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,rECK120033736,rHlyIIR,rH1,rRiboJ51,rpSrpR,pBAD,SarJ,B3,BM3R1,L3S2P11,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,pPhlF,YFP
Design A000P017: 0x40_A000P017,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,pTac,pHlyIIR,RiboJ53,P3,PhlF,ECK120033737,pBAD,SarJ,B3,BM3R1,L3S2P11,pPhlF,YFP
Design A000P019: 0x40_A000P019,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,rL3S2P11,rBM3R1,rB3,rSarJ,rpBAD,pBM3R1,pTet,RiboJ10,S4,SrpR,ECK120029600,pPhlF,YFP
Design A000P021: 0x40_A000P021,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,rL3S2P11,rBM3R1,rB3,rSarJ,rpBAD,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,pPhlF,YFP
Design A000P023: 0x40_A000P023,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,pSrpR,RiboJ51,H1,HlyIIR,ECK120033736,pBAD,SarJ,B3,BM3R1,L3S2P11,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,pPhlF,YFP
Design A000P025: 0x40_A000P025,rECK120033736,rHlyIIR,rH1,rRiboJ51,rpSrpR,rECK120029600,rSrpR,rS4,rRiboJ10,rpTet,rpBM3R1,pBAD,SarJ,B3,BM3R1,L3S2P11,rECK120033737,rPhlF,rP3,rRiboJ53,rpHlyIIR,rpTac,pPhlF,YFP
